date,Open,low,high,Close,hr hilo,time
2019:11:28-01:00:00,5782.5,5778.2,5788.5,5788.2,0.18%,20
2019:11:28-02:00:00,5788.4,5780.5,5788.4,5785.5,0.09%,21
2019:11:28-03:00:00,5785.4,5780.5,5786.5,5786.5,0.05%,22
2019:11:28-04:00:00,5785.8,5781.4,5787.5,5785.5,0.10%,23
2019:11:28-05:00:00,5784.8,5779.5,5785.5,5780.5,0.06%,0
2019:11:28-06:00:00,5780.4,5774.5,5782.5,5780.3,0.15%,1
2019:11:28-07:00:00,5780.5,5769.7,5786.3,5770.5,0.10%,2
2019:11:28-08:00:00,5770.7,5763.5,5779.5,5770.2,0.19%,3
2019:11:28-09:00:00,5770.5,5762.1,5774.3,5768.3,0.09%,4
2019:11:28-10:00:00,5769.2,5760.5,5785.3,5781.5,0.04%,5
2019:11:28-11:00:00,5782.1,5782.1,5799.1,5796.3,0.16%,6
2019:11:28-12:00:00,5796.5,5780.1,5798.3,5785.1,0.12%,7
2019:11:28-13:00:00,5784.5,5781.1,5793.8,5785.3,0.23%,8
2019:11:28-14:00:00,5784.5,5772.3,5792.4,5790.4,0.12%,9
2019:11:28-15:00:00,5789.4,5774.1,5806.4,5777.1,0.13%,10
2019:11:28-16:00:00,5777.3,5764.6,5786.4,5782.4,0.08%,11
2019:11:28-17:00:00,5783.3,5782.4,5826.4,5822.4,0.12%,12
2019:11:29-01:00:00,5806.5,5799.2,5811.5,5799.7,0.17%,13
2019:11:29-02:00:00,5799.4,5799.4,5804.7,5802.5,0.36%,14
2019:11:29-03:00:00,5802.7,5794.5,5803.7,5796.7,0.36%,15
2019:11:29-04:00:00,5796.4,5793,5800.5,5795.7,0.25%,16
2019:11:29-05:00:00,5795.5,5789.7,5796.7,5795.7,0.45%,17
2019:11:29-06:00:00,5795.5,5791.5,5807.7,5807.3,0.20%,18
2019:11:29-07:00:00,5808,5802.3,5813,5807.3,0.28%,19
2019:11:29-08:00:00,5807.1,5788.1,5814.1,5793,0.37%,20
